HM628693,A/Acre/15093/2010,2010-03-03
HM628694,A/Acre/26954/2010,2010-04-04
KT889256,A/Addis Ababa/1514A07305892N/2013,2013-09-26
CY216617,A/Alabama/01/2017,2017-01-04
KC893090,A/Alabama/02/2012,2012-01-21
KT836052,A/Alabama/02/2015,2015-01-26
KX412662,A/Alabama/02/2016,2016-01-27
CY216609,A/Alabama/02/2017,2017-01-05
KC883039,A/Alabama/03/2011,2011-04-04
KC892474,A/Alabama/03/2012,2012-02-16
CY216625,A/Alabama/03/2017,2017-01-19
KC892531,A/Alabama/04/2011,2011-12-07
CY216633,A/Alabama/04/2017,2017-01-23
MK744672,A/Alabama/04/2019,2019-01-03
KC535440,A/Alabama/05/2010,2010-07-13
KY089323,A/Alabama/05/2015,2015-03-11
MK744680,A/Alabama/05/2019,2019-01-03
KY089829,A/Alabama/06/2015,2015-03-11
KX412838,A/Alabama/06/2016,2016-01-20
CY220551,A/Alabama/06/2017,2017-02-07
KC882678,A/Alabama/07/2010,2010-10-28
KC893059,A/Alabama/07/2012,2012-03-20
KF789571,A/Alabama/07/2013,2013-05-22
KT841992,A/Alabama/07/2015,2015-02-11
MN000552,A/Alabama/07/2019,2019-01-17
KC892181,A/Alabama/08/2012,2012-04-04
KT842463,A/Alabama/08/2015,2015-02-14
CY223045,A/Alabama/08/2017,2017-02-20
MN000560,A/Alabama/08/2019,2019-01-26
KT838698,A/Alabama/09/2014,2014-11-05
KT842000,A/Alabama/09/2015,2015-02-14
CY223053,A/Alabama/09/2017,2017-02-24
MH126307,A/Alabama/09/2018,2018-01-16
KC882574,A/Alabama/10/2010,2010-11-07
CY230714,A/Alabama/10/2017,2017-03-06
MK772119,A/Alabama/10/2019,2019-02-01
KT839906,A/Alabama/11/2014,2014-12-08
KT839852,A/Alabama/12/2014,2014-12-09
KC882465,A/Alabama/13/2010,2010-12-16
KY289350,A/Alabama/13/2016,2016-10-19
MH126377,A/Alabama/13/2018,2018-02-01
KY289394,A/Alabama/14/2016,2016-10-19
CY232420,A/Alabama/14/2017,2017-03-15
MH126385,A/Alabama/14/2018,2018-02-03
MK856521,A/Alabama/14/2019,2019-02-21
CY210695,A/Alabama/15/2016,2016-11-16
CY230690,A/Alabama/15/2017,2017-03-20
CY210687,A/Alabama/16/2016,2016-11-27
CY230682,A/Alabama/16/2017,2017-03-29
MK856537,A/Alabama/16/2019,2019-03-05
KF789662,A/Alabama/17/2012,2012-09-05
CY230674,A/Alabama/17/2017,2017-03-30
KF790257,A/Alabama/18/2012,2012-10-29
CY234754,A/Alabama/18/2017,2017-05-04
MH585852,A/Alabama/18/2018,2018-02-10
MN000581,A/Alabama/18/2019,2019-03-01
CY234762,A/Alabama/19/2017,2017-05-04
CY234770,A/Alabama/20/2017,2017-05-04
MN000589,A/Alabama/20/2019,2019-03-21
CY234746,A/Alabama/21/2017,2017-05-09
MN221581,A/Alabama/21/2019,2019-04-04
MN221589,A/Alabama/22/2019,2019-04-04
MH601182,A/Alabama/26/2018,2018-02-09
CY264203,A/Alabama/29/2017,2017-12-01
CY264187,A/Alabama/30/2017,2017-12-03
MH601210,A/Alabama/30/2018,2018-02-13
CY134657,A/Alabama/3101/2012,2012-12-11
CY134658,A/Alabama/3102/2012,2012-12-11
CY141176,A/Alabama/3161/2012,2012-12-20
CY141179,A/Alabama/3164/2012,2012-12-14
CY187637,A/Alabama/3719/2014,2014-03-24
CY193259,A/Alabama/4006/2014,2014-10-21
CY193260,A/Alabama/4007/2014,2014-10-23
CY193276,A/Alabama/4023/2014,2014-11-12
CY193277,A/Alabama/4024/2014,2014-11-19
CY193278,A/Alabama/4025/2014,2014-11-24
CY193279,A/Alabama/4026/2014,2014-11-25
CY193280,A/Alabama/4027/2014,2014-12-01
CY193358,A/Alabama/4105/2014,2014-12-22
CY193478,A/Alabama/4225/2014,2014-12-17
CY193479,A/Alabama/4226/2014,2014-12-16
CY193481,A/Alabama/4228/2015,2015-01-05
CY193640,A/Alabama/4387/2015,2015-01-09
MK623052,A/Alabama/44/2018,2018-12-11
CY193754,A/Alabama/4501/2015,2015-01-20
CY193861,A/Alabama/4608/2014,2014-12-15
CY193862,A/Alabama/4609/2015,2015-01-22
CY244035,A/Alabama/5923/2017,2017-02-09
CY244196,A/Alabama/6084/2017,2017-02-27
CY244197,A/Alabama/6085/2017,2017-02-27
CY244198,A/Alabama/6086/2017,2017-03-03
MH885168,A/Alabama/6754/2018,2018-01-25
CY084299,A/Alabama/AF2692/2010,2010-12-16
CY026035,A/Alabama/UR06-0482/2007,2007-03-01
CY025859,A/Alabama/UR06-0545/2007,2007-03-07
CY093263,A/Alabama/WRAIR1242P/2009,2009-02-01
KM064051,A/Alaska/01/2014,2014-01-19
MK744720,A/Alaska/01/2019,2019-01-07
KC535500,A/Alaska/02/2010,2010-07-22
KC892853,A/Alaska/02/2012,2012-03-06
KF790212,A/Alaska/02/2013,2013-02-20
KC535486,A/Alaska/03/2010,2010-08-06
KC892629,A/Alaska/03/2012,2012-01-13
KY090445,A/Alaska/03/2015,2015-02-13
FJ532066,A/Alaska/04/2008,2008-08-09
KC882754,A/Alaska/04/2010,2010-09-01
KC892601,A/Alaska/04/2012,2012-05-14
KF790088,A/Alaska/04/2012,2012-05-14
KF790391,A/Alaska/04/2013,2013-04-24
KY044323,A/Alaska/04/2016,2016-01-20
CY220239,A/Alaska/04/2017,2017-01-24
MH126411,A/Alaska/04/2018,2018-01-22
MN000608,A/Alaska/04/2019,2019-01-12
EU516052,A/Alaska/05/2007,2007-03-20
KC882453,A/Alaska/05/2010,2010-12-08
KC882787,A/Alaska/05/2010,2010-12-08
KF790378,A/Alaska/05/2013,2013-04-23
KX414920,A/Alaska/05/2016,2016-01-31
CY222053,A/Alaska/05/2017,2017-02-09
EU199374,A/Alaska/06/2007,2007-03-08
KF789569,A/Alaska/06/2013,2013-05-21
KM064109,A/Alaska/06/2014,2014-04-17
CY222061,A/Alaska/06/2017,2017-02-09
MH585868,A/Alaska/06/2018,2018-02-06
CY239713,A/Alaska/08/2017,2017-02-13
MH585876,A/Alaska/08/2018,2018-02-10
KT843470,A/Alaska/09/2015,2015-04-18
CY223173,A/Alaska/09/2017,2017-02-21
MK744192,A/Alaska/09/2019,2019-01-24
KC883393,A/Alaska/10/2011,2011-02-04
KT843433,A/Alaska/10/2015,2015-04-12
KX003659,A/Alaska/104/2015,2015-07-04
KX003693,A/Alaska/109/2015,2015-07-07
MH246247,A/Alaska/11/2018,2018-02-20
MH898000,A/Alaska/11/2018,2018-02-20
MK744164,A/Alaska/11/2019,2019-01-25
KX003707,A/Alaska/112/2015,2015-07-04
KX003747,A/Alaska/117/2015,2015-07-07
KX003763,A/Alaska/119/2015,2015-07-08
CY230738,A/Alaska/12/2017,2017-03-30
KX003795,A/Alaska/122/2015,2015-07-05
KX003803,A/Alaska/123/2015,2015-07-15
KX003811,A/Alaska/124/2015,2015-07-14
KX003819,A/Alaska/126/2015,2015-07-17
KX003827,A/Alaska/127/2015,2015-07-17
KX003843,A/Alaska/129/2015,2015-07-18
KC883090,A/Alaska/13/2011,2011-04-12
CY235496,A/Alaska/13/2017,2017-04-03
KX003851,A/Alaska/131/2015,2015-07-23
KX003875,A/Alaska/134/2015,2015-07-26
KT844135,A/Alaska/137/2015,2015-08-02
KT844143,A/Alaska/138/2015,2015-08-03
KT844151,A/Alaska/139/2015,2015-08-04
KM064187,A/Alaska/14/2013,2013-09-23
KT843621,A/Alaska/14/2015,2015-06-03
KT844183,A/Alaska/143/2015,2015-08-06
KT844207,A/Alaska/146/2015,2015-07-23
MN000645,A/Alaska/15/2019,2019-02-10
KU589699,A/Alaska/154/2015,2015-07-24
KU589707,A/Alaska/155/2015,2015-08-08
KU589974,A/Alaska/157/2015,2015-08-13
KC883438,A/Alaska/16/2011,2011-03-24
KC892536,A/Alaska/16/2012,2012-07-13
CY235632,A/Alaska/16/2017,2017-04-22
MN000653,A/Alaska/16/2019,2019-02-12
KX412093,A/Alaska/163/2015,2015-08-04
KX412101,A/Alaska/164/2015,2015-08-03
KX412117,A/Alaska/166/2015,2015-08-15
KC892914,A/Alaska/17/2011,2011-09-16
KT844265,A/Alaska/17/2015,2015-06-01
CY239904,A/Alaska/17/2017,2017-06-23
KX412141,A/Alaska/170/2015,2015-08-21
KU591548,A/Alaska/172/2015,2015-08-26
KT844339,A/Alaska/18/2015,2015-06-01
KU591379,A/Alaska/183/2015,2015-08-16
CY240087,A/Alaska/19/2017,2017-05-06
MN221597,A/Alaska/19/2019,2019-02-20
KU589556,A/Alaska/192/2015,2015-08-16
KX412209,A/Alaska/194/2015,2015-08-17
KX412217,A/Alaska/195/2015,2015-08-24
KX412273,A/Alaska/205/2015,2015-09-07
KX003958,A/Alaska/206/2015,2015-09-07
KU590321,A/Alaska/208/2015,2015-09-02
KX003974,A/Alaska/209/2015,2015-09-07
KC892420,A/Alaska/21/2011,2011-11-27
CY240079,A/Alaska/21/2017,2017-06-16
KU591797,A/Alaska/216/2015,2015-09-06
KU591976,A/Alaska/217/2015,2015-09-07
KU591984,A/Alaska/218/2015,2015-09-07
KT889133,A/Alaska/21usafsam/2012,2012-01-29
KF790196,A/Alaska/22/2012,2012-10-01
KF790216,A/Alaska/22/2012,2012-10-01
KY090499,A/Alaska/22/2015,2015-06-06
KX916788,A/Alaska/22/2016,2016-06-06
KU591813,A/Alaska/221/2015,2015-09-03
KX412284,A/Alaska/224/2015,2015-09-12
KX412292,A/Alaska/226/2015,2015-09-10
KU592008,A/Alaska/229/2015,2015-09-13
KF790184,A/Alaska/23/2012,2012-10-05
KF790195,A/Alaska/23/2012,2012-10-05
KX916780,A/Alaska/23/2016,2016-06-15
MH601233,A/Alaska/23/2018,2018-01-22
MN084112,A/Alaska/23/2019,2019-04-11
KU592016,A/Alaska/230/2015,2015-09-14
KY116934,A/Alaska/232/2015,2015-09-09
KY116959,A/Alaska/232/2015,2015-09-09
KX412300,A/Alaska/233/2015,2015-09-16
KX412308,A/Alaska/234/2015,2015-09-16
KU590778,A/Alaska/239/2015,2015-09-16
