CY073727,A/Aalborg/INS283/2009,2009-12-07
CY066945,A/Aarhus/INS237/2009,2009-11-23
CY083763,A/Aarhus/INS239/2009,2009-11-25
CY066977,A/Aarhus/INS242/2009,2009-11-24
CY067033,A/Aarhus/INS251/2009,2009-11-21
CY067049,A/Aarhus/INS253/2009,2009-11-22
CY067057,A/Aarhus/INS254/2009,2009-11-28
CY176580,A/Aarhus/INS3,2011-01-14
CY176588,A/Aarhus/INS3,2011-02-07
CY129912,A/Aarhus/INS609/2011,2011-01-25
CY129920,A/Aarhus/INS610/2011,2011-01-21
CY129928,A/Aarhus/INS612/2011,2011-01-19
CY129936,A/Aarhus/INS613/2011,2011-01-20
CY056949,A/Aarhus/INS82/2009,2009-11-20
CY071820,A/Addis Ababa/WR2848N/2009,2009-12-01
GU014773,A/Aichi/198/2009,2009-06-15
KC780619,A/Alabama/01/2010,2010-01-04
KT274669,A/Alabama/01/2014,2014-01-02
KY044689,A/Alabama/01/2016,2016-01-11
KX005851,A/Alabama/01/2016,2016-01-11
MH083303,A/Alabama/01/2018,2018-01-02
GQ323480,A/Alabama/02/2009,2009-04-27
KC780352,A/Alabama/02/2010,2010-01-23
KC882233,A/Alabama/02/2011,2011-01-04
MH083311,A/Alabama/02/2018,2018-01-03
KC781168,A/Alabama/03/2010,2010-03-01
KM409260,A/Alabama/03/2014,2014-03-05
KC781128,A/Alabama/04/2009,2009-11-02
KC781176,A/Alabama/04/2010,2010-03-15
KC781193,A/Alabama/06/2010,2010-07-19
KC891347,A/Alabama/06/2012,2012-03-19
MK630780,A/Alabama/06/2019,2019-01-19
MH125608,A/Alabama/07/2018,2018-01-13
KC780613,A/Alabama/08/2009,2009-12-04
KX409717,A/Alabama/08/2016,2016-03-07
MK772911,A/Alabama/09/2019,2019-01-31
KX411309,A/Alabama/11/2016,2016-04-05
KX411861,A/Alabama/12/2016,2016-05-09
MK772919,A/Alabama/12/2019,2019-02-04
KU589372,A/Alabama/13/2015,2015-12-02
MH125656,A/Alabama/16/2018,2018-02-05
MK999444,A/Alabama/19/2019,2019-03-20
CY256519,A/Alabama/22/2017,2017-10-09
MH245899,A/Alabama/22/2018,2018-02-24
