"","RN","PN","Rdate"
"827","MN300012","QED13150","2016/12/28"
"10514","CY244121","ATD11177","2017/02/01"
"852","MN299565","QED12703","2017/01/06"
"843","MN299528","QED12666","2017/01/04"
"1032","MN299382","QED12520","2016/12/28"
"863","MN299590","QED12728","2017/01/07"
"770","MN299975","QED13113","2016/12/24"
"947","MN299783","QED12921","2017/01/27"
"989","MN299865","QED13003","2017/02/06"
"10510","CY244024","ATD11080","2017/01/30"
"10502","CY235022","ASE04517","2017/01/17"
"10500","CY234978","ASE04473","2016/12/29"
"976","MN299842","QED12980","2017/02/03"
"2198","MF182495","AKQ09862","2017/01/19"
"2196","MF182493","AKQ09862","2017/01/11"
"14593","CY243919","ATD10975","2017/01/11"
"2197","MF182494","AKQ09862","2017/01/11"
"9533","CY259247","AUC65073","2017/02/27"
"10185","CY216177","AQS20175","2017/01/10"
"15072","KY116622","APC59632","2016/10/14"
"15157","CY230866","ARQ87549","2017/04/06"
"1739","KY116406","APC59309","2016/09/24"
"4570","CY210520","APT38268","2016/11/03"
"11649","KY486338","AQN75717","2016/12/12"
"12465","CY243898","ATD10954","2016/12/17"
"11648","KY486337","AQN75716","2016/12/12"
"10284","CY244253","ATD11309","2017/02/22"
"12462","CY234985","ASE04480","2016/12/21"
"11646","KY486335","AQN75714","2016/12/12"
"11650","KY486339","AQN75718","2016/12/12"
"12468","CY244027","ATD11083","2017/01/17"
"11645","KY486334","AQN75713","2016/12/12"
"2569","KY486343","AQN75722","2016/12/12"
"2580","KY486358","AQN75737","2016/12/12"
"2579","KY486356","AQN75735","2016/12/12"
"2572","KY486346","AQN75725","2016/12/12"
"14272","CY212434","APW80489","2016/12/06"
"815","MN299961","QED13099","2016/12/21"
"6791","CY234888","ASB34047","2016/08/13"
"1938","CY234879","ASB34038","2016/09/16"
"983","MN299857","QED12995","2017/02/05"
"10943","CY210260","APT37512","2016/10/18"
"8245","CY243882","ATD10938","2017/01/23"
"12939","CY219063","AQS97655","2016/12/22"
"8169","CY220207","AQW35896","2017/01/30"
"6367","CY211490","APT43549","2016/11/23"
"3227","CY213002","APW81429","2016/12/19"
"6704","CY224022","ARD26131","2017/02/16"
"4542","KY003496","AOZ81790","2016/09/07"
"12980","CY226839","ARH15242","2017/01/17"
"13112","CY223293","ARB17981","2017/03/01"
"13078","CY234896","ASB34055","2016/11/06"
"1819","CY212970","APW81381","2016/12/02"
"5468","CY211763","APT43958","2016/11/29"
"435","CY238915","ASM91299","2017/06/13"
"2179","MF182487","AKQ09862","2017/01/17"
"389","CY230530","ARQ86451","2017/02/22"
"4564","KY116326","APC59190","2016/09/22"
"10254","CY210322","APT37776","2016/10/22"
"6013","KY950075","ARO85239","2016/12/09"
"6294","MH637582","AXO64923","2017/01/17"
"5780","CY243996","ATD11052","2017/01/30"
"5303","MH201586","AVZ24021","2017/03/10"
"5305","MH201584","AVZ24019","2017/03/09"
"12190","CY254457","ATV88627","2016/07/11"
"14102","CY254705","ATV88987","2016/08/15"
"12195","CY254553","ATV88771","2016/07/20"
"14023","CY254785","ATV89107","2016/08/18"
"5302","MH201585","AVZ24020","2017/03/16"
"905","MN299685","QED12823","2017/01/14"
"10610","MF195728","ASB31964","2016/01/18"
"14512","CY234408","ASB16150","2017/03/20"
"10426","CY223245","ARB17843","2017/02/08"
"12622","CY255505","ATV90185","2016/11/13"
"12540","CY255025","ATV89467","2016/09/02"
"12632","CY255225","ATV89766","2016/09/06"
"8279","KY078632","AKQ43544","2016/08/02"
"8280","KY078633","AKQ43544","2016/08/04"
"8277","KY078628","AKQ43544","2016/07/26"
"8278","KY078629","AKQ43544","2016/07/27"
"14863","CY218008","AQS96836","2017/01/03"
"14871","CY226471","ARH14671","2017/01/09"
"5236","KY115862","APC58494","2016/08/20"
"15079","CY217954","AQS96744","2016/11/29"
"11550","MH346682","AWW21048","2017/05/02"
"328","KY583549","AQS35047","2016/11/08"
"324","KY583534","AQS35032","2017/01/03"
"323","KY583539","AQS35037","2017/01/02"
"340","KY583537","AQS35035","2016/12/05"
"346","KY583538","AQS35036","2016/12/19"
"1551","KY583642","AQS35140","2017/01/06"
"325","KY583510","AQS35008","2017/01/05"
"1588","KY583663","AQS35161","2016/12/21"
"326","KY583511","AQS35009","2017/01/06"
"1529","KY583645","AQS35143","2017/01/04"
"10501","CY234979","ASE04474","2017/01/04"
"2137","MF182466","AKQ09862","2017/01/09"
"334","KY583582","AQS35080","2016/11/22"
"339","KY583536","AQS35034","2016/12/03"
"341","KY583564","AQS35062","2016/12/05"
"344","KY583567","AQS35065","2016/12/12"
"1535","KY583646","AQS35144","2017/01/04"
"342","KY583559","AQS35057","2016/12/09"
"10565","KY583714","AQS35212","2017/01/04"
"327","KY583518","AQS35016","2016/11/08"
"332","KY583535","AQS35033","2016/11/21"
"1547","KY583643","AQS35141","2017/01/06"
"345","KY583516","AQS35014","2016/12/19"
"1582","KY583593","AQS35091","2016/12/19"
"347","KY583532","AQS35030","2016/12/22"
"10091","CY216801","AQS21528","2017/01/29"
"329","KY583512","AQS35010","2016/11/10"
"6724","CY210480","APT38186","2016/11/17"
"15186","CY244033","ATD11089","2017/01/31"
"7374","CY228533","ARO43620","2017/03/20"
"7685","CY214202","APY26312","2016/12/23"
"10062","CY211986","APT44292","2016/12/08"
"349","KY583560","AQS35058","2016/12/27"
"338","KY583561","AQS35059","2016/12/01"
"336","KY583562","AQS35060","2016/11/29"
"4061","MF182501","ALB07296","2017/02/02"
"348","KY583533","AQS35031","2016/12/25"
"12904","CY221766","AQY20709","2017/01/23"
"11381","CY223822","ARD25534","2017/01/30"
"11424","CY214418","AQI09033","2016/12/29"
"337","KY583515","AQS35013","2016/11/30"
"5082","CY228885","ARO44500","2017/03/06"
"7679","KY289332","APH10571","2016/10/21"
"10717","CY220223","AQW35942","2017/01/24"
"4023","CY210743","APT38797","2016/10/07"
"14578","CY234898","ASB34057","2016/10/07"
"2947","KX415608","ANN00695","2016/02/28"
"9207","KX917388","AOT90526","2016/03/31"
"13831","KX916196","AOT88739","2016/05/24"
"10258","CY210767","APT38853","2016/11/17"
"10257","CY210759","APT38841","2016/11/17"
"14460","CY222029","AQZ37627","2017/02/12"
"4566","KY289590","APH10961","2016/09/27"
"4557","KY116302","APC59154","2016/09/21"
"3675","CY244386","ATD11442","2017/03/17"
"8290","CY216073","AQS19876","2017/01/10"
"1563","KY583640","AQS35138","2017/01/12"
"8017","CY234891","ASB34050","2016/11/02"
"14767","CY216673","AQS21259","2016/12/27"
"4515","KX916836","AOT89699","2016/07/11"
"10999","CY254881","ATV89251","2016/07/24"
"5553","KX916364","AOT88991","2016/08/19"
"12943","CY226942","ARH15392","2016/12/19"
"10441","CY212081","APT44434","2016/12/02"
"13273","CY238425","ASK80267","2017/02/04"
"807","MN299938","QED13076","2016/11/25"
"13091","KX917148","AOT90166","2016/02/26"
"13219","KU590855","AMB69209","2015/12/08"
"14954","KX414976","ANM99746","2016/02/19"
"1707","KX916452","AOT89123","2016/05/30"
"10906","KU590643","AMB68889","2015/11/23"
"5772","CY234885","ASB34044","2016/09/29"
"11206","MF182517","ASB31372","2016/07/18"
"10614","MF195730","ASB31966","2016/02/09"
"10613","MF195729","ASB31965","2016/02/03"
"1586","KY583665","AQS35163","2016/12/21"
"351","MF195705","ASB31941","2016/02/10"
"13899","KX414409","ANM98895","2016/01/30"
"13970","KX916604","AOT89351","2016/05/05"
"6421","KX413070","ANM96885","2016/02/13"
"6159","KY872763","ARK18944","2016/07/03"
"12370","KX416896","ANN02625","2016/02/28"
"11461","MF782911","ATB53636","2017/02/08"
"7033","CY226727","ARH15062","2017/01/16"
"12584","CY254281","ATV88363","2016/03/03"
"5210","KX412694","ANM96321","2015/12/16"
"9709","CY254657","ATV88915","2016/07/25"
"9707","CY254505","ATV88699","2016/07/07"
"1772","KY289347","APH10592","2016/10/26"
"12461","CY234982","ASE04477","2016/12/10"
"1448","CY254753","ATV89059","2016/07/25"
"1527","KY583641","AQS35139","2017/01/03"
"9704","CY254321","ATV88423","2016/03/29"
"3129","CY254985","ATV89407","2016/08/15"
"1452","CY254889","ATV89263","2016/08/16"
"1489","CY255201","ATV89730","2016/09/07"
"1499","CY255417","ATV90053","2016/11/07"
"9691","CY254361","ATV88483","2016/05/18"
"3206","CY211697","APT43859","2016/11/09"
"10617","MF195732","ASB31968","2016/02/11"
"11271","MF195742","ASB31978","2016/04/07"
"12159","CY254146","ATV88161","2015/10/31"
"1518","CY254305","ATV88399","2016/03/08"
"476","KX414145","ANM98499","2015/12/22"
"7315","KU591938","AMB70837","2015/11/16"
"7532","CY243423","ASZ79327","2016/01/18"
"3238","KX412558","ANM96117","2015/12/21"
"10910","KX412638","ANM96237","2015/12/26"
"12143","CY255361","ATV89969","2016/11/09"
"12156","CY255529","ATV90221","2016/12/06"
"12114","CY255097","ATV89575","2016/09/12"
"12522","CY254465","ATV88639","2016/07/11"
"7191","KY003555","AOZ81880","2016/07/12"
"1822","CY212922","APW81309","2016/12/15"
"7076","CY220743","AQW37460","2017/02/08"
"804","MN299953","QED13091","2016/12/20"
"13083","CY234989","ASE04484","2016/12/28"
"5172","CY215889","AQS19446","2017/01/15"
"14259","KX917764","AOT91090","2016/04/13"
"7774","KX415024","ANM99818","2016/02/17"
"14469","CY225342","ARH17388","2017/02/27"
"7286","CY235816","ASK83593","2017/05/13"
"14101","CY254689","ATV88963","2016/07/31"
"6926","KY116558","APC59536","2016/10/04"
"13844","KY289437","APH10726","2016/10/26"
"7101","CY230101","ARO41147","2017/02/26"
"1487","CY255185","ATV89706","2016/09/25"
"1488","CY255193","ATV89718","2016/08/25"
"9705","CY254497","ATV88687","2016/07/10"
"12541","CY255081","ATV89551","2016/09/08"
"5168","CY215977","AQS19677","2017/01/12"
"14017","CY254857","ATV89215","2016/08/09"
"9532","CY259231","AUC65050","2017/02/12"
"7587","CY215066","AQI21482","2017/01/01"
"14884","CY218118","AQS96997","2017/01/13"
"7647","KU591464","AMB70122","2015/09/20"
"14141","CY254697","ATV88975","2016/08/13"
"1951","CY234958","ASE04453","2017/01/04"
"1451","CY254945","ATV89347","2016/08/10"
"7029","CY226751","ARH15098","2017/01/11"
"12153","CY255521","ATV90209","2016/11/19"
"1766","CY210230","APT37415","2016/10/16"
"7392","CY213266","APW81890","2016/12/06"
"8016","CY215090","AQI25145","2016/12/08"
"1836","CY214898","AQI21230","2016/12/26"
"14104","CY254801","ATV89131","2016/08/11"
"825","MN300016","QED13154","2016/12/28"
"931","MN299753","QED12891","2017/01/23"
"4551","KY116262","APC59094","2016/09/16"
"886","MN299641","QED12779","2017/01/11"
"1941","CY234882","ASB34041","2016/10/14"
"5671","KY435816","APU51961","2016/11/14"
"9708","CY254673","ATV88939","2016/07/30"
"10238","KX916868","AOT89747","2016/08/10"
"7801","CY212754","APW80991","2016/12/13"
"8142","CY216273","AQS20451","2017/01/07"
"2128","MF182465","AKQ09862","2017/02/08"
"9208","CY244115","ATD11171","2017/02/08"
"10047","KY289165","APH10321","2016/10/17"
"10942","KY116230","APC59046","2016/09/27"
"3459","CY212057","APT44398","2016/12/08"
"12768","CY214386","AQI08985","2016/12/13"
"10288","CY244257","ATD11313","2017/03/15"
"8519","CY213010","APW81441","2016/12/01"
"12393","CY209200","APO18754","2016/10/17"
"12403","CY209208","APO18766","2016/11/04"
"5555","KY003406","AOZ81653","2016/09/02"
"875","MN299617","QED12755","2017/01/09"
"5244","CY213098","APW81595","2016/12/16"
"1029","MN299375","QED12513","2016/11/30"
"14263","CY234945","ASB34104","2016/12/20"
"7037","KY289544","APH10890","2016/10/21"
"1720","KY003564","AOZ81895","2016/07/09"
"5470","CY212834","APW81177","2016/12/02"
"12229","CY222557","ARB16393","2017/02/23"
"13106","CY244279","ATD11335","2017/02/14"
"564","CY216545","AQS20947","2016/12/27"
"8021","CY215082","AQI25133","2016/12/22"
"12129","CY255121","ATV89611","2016/09/08"
"4018","CY210751","APT38820","2016/10/02"
"12161","CY255537","ATV90233","2016/12/13"
"14728","CY214570","AQI13143","2017/01/03"
"12567","CY255137","ATV89635","2016/09/09"
"5132","CY212570","APW80693","2016/12/07"
"6016","MH637660","AXO65041","2017/01/16"
"11561","MH347135","AWW20483","2017/03/15"
"826","MN300010","QED13148","2016/12/28"
"1559","KY583627","AQS35125","2017/01/10"
"928","MN299741","QED12879","2017/01/20"
"11544","MH347117","AWW21048","2017/01/17"
"11551","MH346999","AWW21048","2017/05/23"
"11562","MH346769","AWW20637","2017/05/11"
"230","CY243535","ASZ79550","2017/06/03"
"6334","KX416152","ANN01511","2016/03/07"
"6314","KX415488","ANN00515","2016/02/17"
"5771","CY208356","APG55957","2016/02/23"
"11214","KY925917","ARI69190","2016/04/22"
"2775","KX413673","ANM97791","2015/12/17"
"10405","CY215146","AQI25229","2017/01/02"
"10816","CY218222","AQS97149","2017/01/10"
"1948","CY234955","ASE04450","2017/01/06"
"13853","CY212642","APW80801","2016/12/08"
"12933","CY213258","APW81856","2016/12/25"
"3211","CY210416","APT38079","2016/11/15"
"12927","CY216577","AQS21016","2017/01/18"
"980","MN299854","QED12992","2017/02/04"
"822","MN300002","QED13140","2016/12/27"
"6931","CY210791","APT38889","2016/11/29"
"10055","CY210488","APT38198","2016/11/15"
"849","MN299562","QED12700","2017/01/06"
"1052","MN299452","QED12590","2017/02/04"
"775","MN300001","QED13139","2016/12/27"
"892","MN299648","QED12786","2017/01/11"
"788","MN299493","QED12631","2017/01/02"
"2993","CY214810","AQI17414","2016/12/04"
"1578","KY583591","AQS35089","2016/12/12"
"10503","CY243891","ATD10947","2016/12/30"
"5918","CY220575","AQW36977","2017/02/03"
"11","CY216625","AQS21154","2017/01/19"
"12760","CY210551","APT38326","2016/11/06"
"13866","CY234995","ASE04490","2017/01/05"
"4513","KX916316","AOT88919","2016/06/24"
"11463","MF782986","ATB53664","2017/02/28"
"4508","KX916484","AOT89171","2016/05/21"
"2926","CY220127","AQW35688","2017/01/18"
"3745","CY208960","APO18277","2016/10/03"
"9512","CY258975","AUC64548","2016/11/14"
"11545","MH346686","AWW21048","2017/01/31"
"11554","MH347113","AWW21048","2017/05/31"
"509","KY116494","APC59441","2016/09/30"
"5165","CY215993","AQS19701","2017/01/10"
"11547","MH347069","AWW21048","2017/02/22"
"873","MN299594","QED12732","2017/01/08"
"5784","CY244095","ATD11151","2017/02/10"
"785","MN300048","QED13186","2016/12/31"
"884","MN299632","QED12770","2017/01/10"
"887","MN299645","QED12783","2017/01/11"
"806","MN299978","QED13116","2016/12/24"
"911","MN299703","QED12841","2017/01/17"
"12846","KX412878","ANM96597","2016/01/25"
"10866","KX415640","ANN00743","2016/02/29"
"7173","KX416160","ANN01523","2016/02/22"
"7160","KY044147","AOZ84951","2016/03/15"
"11000","CY255577","ATV90293","2016/07/29"
"12193","CY254521","ATV88723","2016/07/13"
"9693","CY254777","ATV89095","2016/08/05"
"4559","KY116286","APC59130","2016/09/22"
"5116","CY211610","APT43728","2016/09/27"
"2411","CY255281","ATV89850","2016/10/04"
"14111","CY254905","ATV89287","2016/08/21"
"1500","CY255425","ATV90065","2016/10/29"
"14018","CY254793","ATV89119","2016/08/09"
"820","MN300005","QED13143","2016/12/27"
"14125","CY255481","ATV90149","2016/11/11"
"14151","CY254833","ATV89179","2016/08/11"
"14004","CY255249","ATV89802","2016/09/10"
"13473","MF673252","ASW34249","2016/09/02"
"7680","CY209384","APO19030","2016/11/05"
"8163","CY220191","AQW35872","2017/01/30"
"8165","CY220199","AQW35884","2017/01/30"
"13098","CY244179","ATD11235","2017/02/21"
"378","CY223197","ARB17738","2017/02/17"
"11577","MH346536","AWW20291","2017/06/19"
"11578","MH347203","AWW21260","2017/06/22"
"10947","CY210703","APT38662","2016/11/11"
"12772","CY226559","ARH14803","2016/12/15"
"8048","CY216145","AQS20050","2017/01/20"
"12913","KX916500","AOT89195","2016/06/23"
"1932","CY209850","APQ44653","2016/03/28"
"3736","KY116454","APC59381","2016/10/03"
"12176","CY254425","ATV88579","2016/06/20"
"1718","KX916324","AOT88931","2016/06/27"
"13834","KX916980","AOT89915","2016/07/10"
"6280","KY487462","AQN74787","2016/01/18"
"971","MN299833","QED12971","2017/02/03"
"835","MN299494","QED12632","2017/01/02"
"927","MN299738","QED12876","2017/01/20"
"941","MN299769","QED12907","2017/01/25"
"810","MN299940","QED13078","2016/12/10"
"1048","MN299432","QED12570","2017/01/26"
"777","MN300013","QED13151","2016/12/28"
"833","MN300034","QED13172","2016/12/30"
"772","MN299990","QED13128","2016/12/26"
"847","MN299559","QED12697","2017/01/06"
"991","MN299881","QED13019","2017/02/08"
"13478","MF673260","ASW34257","2016/10/07"
"15185","CY244032","ATD11088","2017/01/26"
"8244","CY243880","ATD10936","2017/01/12"
"856","MN299574","QED12712","2017/01/07"
"2826","CY234960","ASE04455","2016/12/22"
"954","MN299789","QED12927","2017/01/28"
"10277","CY235021","ASE04516","2016/12/29"
"5137","CY210018","APR73834","2016/06/28"
"13107","CY244281","ATD11337","2017/02/06"
"13466","MF673244","ASW34241","2016/07/05"
"8138","CY216297","AQS20487","2017/01/05"
"1445","CY254529","ATV88735","2016/07/13"
"15183","CY243985","ATD11041","2017/01/19"
"15184","CY243986","ATD11042","2017/01/23"
"2680","CY214986","AQI21362","2017/01/05"
"10084","CY216185","AQS20198","2017/01/16"
"5241","CY212698","APW80885","2016/12/13"
"2696","CY220583","AQW37022","2017/01/31"
"1942","CY234905","ASB34064","2016/11/24"
"5658","KY435825","APU51970","2016/11/30"
"3473","CY219123","AQS97929","2016/12/24"
"12842","CY214826","AQI21111","2017/01/05"
"12843","CY228173","AQI21111","2017/01/05"
"5408","CY221870","AQY20865","2017/02/03"
"9695","CY255001","ATV89431","2016/08/23"
"12146","CY255377","ATV89993","2016/11/11"
"221","KY116118","APC58878","2016/09/20"
"222","CY211514","APC58878","2016/09/20"
"3650","CY234911","ASB34070","2016/12/20"
"6283","KY949757","ARO85422","2016/11/25"
"8247","CY243943","ATD10999","2017/01/04"
"6287","KY949854","ARO85472","2016/12/08"
"8156","CY216305","AQS20499","2017/01/18"
"6014","KY949735","ARO85246","2016/12/14"
"12594","KY949789","ARO85577","2016/12/06"
"6015","KY949885","ARO85263","2016/12/20"
"6011","KY949869","ARO85213","2016/11/30"
"6285","KY949886","ARO85445","2016/12/01"
"7337","CY209360","APO18994","2016/11/03"
"7339","CY211755","APT43946","2016/11/12"
"12595","KY949902","ARO85589","2016/12/19"
"5560","KY116134","APC58902","2016/09/26"
"6286","KY950205","ARO85465","2016/12/02"
"6293","KY949936","ARO85566","2017/01/04"
"12593","KY615528","AQW43318","2016/01/05"
"1892","KX414825","ANM99519","2016/02/15"
"669","KY949651","ARO84920","2017/01/29"
"955","MN299790","QED12928","2017/01/28"
"840","MN299529","QED12667","2017/01/04"
"3874","CY216033","AQS19783","2017/01/09"
"183","KU590321","AMB68405","2015/09/02"
"7651","KU589968","AMB67875","2015/09/26"
"7171","KU591900","AMB70780","2015/10/04"
"6486","KU590372","AMB68482","2015/10/07"
"207","KX412300","ANM95730","2015/09/16"
"4556","KX413331","ANM97278","2015/10/18"
"12520","CY254609","ATV88843","2016/07/08"
"1564","KY583658","AQS35156","2017/01/12"
"7798","KY115926","APC58590","2016/09/06"
"14106","CY254809","ATV89143","2016/08/10"
"12524","CY254481","ATV88663","2016/07/20"
"13996","CY255105","ATV89587","2016/09/12"
"2394","CY254713","ATV88999","2016/07/25"
"12131","CY255065","ATV89527","2016/09/15"
"12136","CY255161","ATV89670","2016/09/18"
"13994","CY255089","ATV89563","2016/09/16"
"10416","CY216721","AQS21397","2017/01/23"
"9907","KX412774","ANM96441","2016/01/12"
"1482","CY254202","ATV88245","2015/11/09"
"1571","MF195727","ASB31963","2016/03/31"
"14563","KU591123","AMB69607","2015/10/04"
"15143","KX416488","ANN02014","2016/03/21"
"15167","KX917732","AOT91042","2016/04/17"
"488","KX414169","ANM98535","2015/12/21"
"9929","KX415176","ANN00047","2016/02/22"
"5171","KX416640","ANN02241","2016/02/08"
"3679","KX918220","AOT91774","2016/05/05"
"15156","KX416504","ANN02038","2016/03/23"
"6734","CY234272","ARO42997","2017/02/27"
"6733","CY228373","ARO42997","2017/02/27"
"3202","CY210329","APT37786","2016/11/06"
"13847","CY209336","APO18958","2016/11/11"
"12319","MF182519","APF29728","2016/12/22"
"13865","CY234994","ASE04489","2016/12/23"
"14408","CY213194","APW81760","2016/11/15"
"13974","KY289132","APH10272","2016/10/08"
"1580","KY583605","AQS35103","2016/12/12"
"9899","KX412758","ANM96417","2016/01/13"
"809","MN299937","QED13075","2016/11/22"
"988","MN299864","QED13002","2017/02/06"
"12815","CY214034","APY26060","2017/01/02"
"49","CY230682","ARQ86987","2017/03/29"
"47","CY230690","ARQ86999","2017/03/20"
"7665","KX413713","ANM97851","2015/12/24"
"7660","KX413617","ANM97707","2015/12/10"
"219","KU591268","AMB69826","2015/10/11"
"225","KU591582","AMB70304","2015/10/22"
"226","KX413457","ANM97467","2015/11/11"
"9187","KX416752","ANN02409","2016/03/20"
"3869","KX412798","ANM96477","2016/01/12"
"14109","CY254745","ATV89047","2016/08/09"
"13563","MF673240","ASW34237","2016/04/21"
"3937","KX916260","AOT88835","2016/02/24"
"12120","CY254034","ATV87993","2015/10/12"
"10998","CY253786","ATV87621","2015/07/29"
"12463","CY235026","ASE04521","2017/01/11"
"5776","CY234966","ASE04461","2016/12/22"
"8370","KX412630","ANM96225","2015/12/13"
"8062","KX415568","ANN00635","2016/03/09"
"12179","CY254393","ATV88531","2016/07/03"
"14562","CY208130","APF45808","2015/09/22"
"14631","KX412974","ANM96741","2015/09/22"
"14561","CY208129","APF45807","2015/09/18"
"14560","CY208128","APF45806","2015/09/22"
"14628","KX412966","ANM96729","2015/09/18"
"1722","KX413841","ANM98043","2015/12/29"
"1747","KX414313","ANM98751","2016/01/14"
"9701","CY255257","ATV89814","2016/10/10"
"13460","MF673237","ASW34234","2016/03/15"
"6748","CY214482","AQI09184","2016/12/19"
"12936","CY216585","AQS21028","2017/01/18"
"490","KX414177","ANM98547","2015/12/28"
"803","MN299948","QED13086","2016/12/18"
"779","MN300020","QED13158","2016/12/28"
"894","MN299654","QED12792","2017/01/12"
"8054","CY220319","AQW36274","2017/01/31"
"4350","KX413905","ANM98139","2016/01/08"
"14022","CY254873","ATV89239","2016/08/16"
"14110","CY254897","ATV89275","2016/08/17"
"14020","CY254865","ATV89227","2016/08/16"
"12915","KX916876","AOT89759","2016/08/15"
"12537","CY254953","ATV89359","2016/08/16"
"10043","KY115830","APC58446","2016/09/20"
"13998","CY255241","ATV89790","2016/09/02"
"215","KX412324","ANM95765","2015/09/20"
"205","KY116934","APC60069","2015/09/09"
"12627","CY254265","ATV88339","2016/02/11"
"872","MN299595","QED12733","2017/01/08"
"14433","KX414249","ANM98655","2016/01/19"
"8158","KX415320","ANN00263","2016/02/25"
"901","MN299673","QED12811","2017/01/13"
"850","MN299563","QED12701","2017/01/06"
"10760","KU590518","AMB68700","2015/10/12"
"10759","KU590510","AMB68688","2015/10/12"
"7634","KU590063","AMB68017","2015/09/13"
"4187","MF113181","ARV89923","2015/10/14"
"4160","MF113183","ARV89925","2016/03/07"
"801","MN299623","QED12761","2017/01/09"
"819","MN299996","QED13134","2016/12/26"
"795","MN299519","QED12657","2017/01/04"
"157","KT844207","ALH37812","2015/07/23"
"14558","KU591381","AMB69994","2015/09/19"
"15060","KT843973","ALH37461","2015/09/01"
"917","MN299718","QED12856","2017/01/17"
"11678","MF593719","ASU55525","2015/10/16"
"13598","MF673257","ASW34254","2016/09/13"
"12458","CY210053","APR73869","2016/02/04"
"828","MN300021","QED13159","2016/12/29"
"2033","KX412454","ANM95961","2015/10/21"
"12674","KY328774","APO40389","2016/04/04"
"3421","KY328772","APO40387","2016/03/26"
"13888","KY328773","APO40388","2016/03/30"
"13457","MF673234","ASW34231","2016/02/01"
"15197","KY273050","APQ31289","2016/02/05"
"11692","MG984185","AVH86667","2017/01/10"
"11664","MF593717","ASU55523","2015/10/09"
"13459","MF673236","ASW34233","2016/02/23"
"13458","MF673235","ASW34232","2016/02/15"
"10616","MF195731","ASB31967","2016/02/09"
"11676","MF593722","ASU55528","2016/03/22"
"930","MN299752","QED12890","2017/01/23"
"916","MN299716","QED12854","2017/01/17"
"943","MN299772","QED12910","2017/01/26"
"187","KU591797","AMB70626","2015/09/06"
"13475","MF673254","ASW34251","2016/09/05"
"13396","MF673233","ASW34230","2016/01/07"
"166","KX412093","ANM95420","2015/08/04"
"913","MN299706","QED12844","2017/01/17"
"904","MN299683","QED12821","2017/01/14"
"13597","MF673248","ASW34245","2016/07/28"
"4547","KU592112","AMB71097","2015/10/09"
"1033","MN299385","QED12523","2016/12/30"
"12544","CY254625","ATV88867","2016/07/10"
"14132","CY254769","ATV89083","2016/08/12"
"13462","MF673239","ASW34236","2016/04/07"
"14615","KX413537","ANM97587","2015/12/01"
"14478","KY044366","AOZ85267","2016/02/19"
"14014","CY254289","ATV88375","2016/03/15"
"3427","CY215106","AQI25169","2017/01/04"
"9319","KU591519","AMB70209","2015/11/03"
"9510","CY259575","AUC65550","2015/11/03"
"12609","CY254473","ATV88651","2016/07/20"
"1472","CY254737","ATV89035","2016/07/31"
"14052","CY254665","ATV88927","2016/07/20"
"168","KX412117","ANM95456","2015/08/15"
"7429","CY244163","ATD11219","2017/02/10"
"7583","MF182512","AKQ09947","2017/01/11"
"10830","CY222837","ARB16912","2017/02/08"
"111","CY220239","AQW35967","2017/01/24"
"246","CY213154","APW81700","2016/12/13"
"374","CY220751","AQW37527","2017/02/05"
"13850","CY212650","APW80813","2016/12/06"
"13851","CY227094","APW80813","2016/12/06"
"1838","CY220271","AQW36114","2017/01/30"
"7623","CY227918","ARO41720","2017/03/05"
"5239","CY209352","APO18982","2016/11/13"
"7044","CY211506","APT43573","2016/11/26"
"7026","CY264713","ARH15086","2017/01/11"
"7025","CY226743","ARH15086","2017/01/11"
"13745","CY216353","AQS20582","2017/01/19"
"13863","CY234992","ASE04487","2016/12/20"
"13868","CY235031","ASE04526","2016/12/01"
"13856","CY228102","APW81796","2016/12/20"
"13857","CY228094","ARO42116","2016/12/22"
"13855","CY213218","APW81796","2016/12/20"
"5125","CY210615","APT38497","2016/11/18"
"14641","CY209312","APO18922","2016/10/31"
"1953","CY235007","ASE04502","2017/01/18"
"1955","CY243868","ATD10924","2017/01/05"
"14122","CY255465","ATV90125","2016/10/26"
"10697","CY214762","AQI17232","2017/01/02"
"4518","CY244046","ATD11102","2017/01/03"
"4572","CY212866","APW81225","2016/11/28"
"4571","CY211922","APT44196","2016/11/21"
"14030","CY255073","ATV89539","2016/08/29"
"1504","CY255441","ATV90089","2016/10/30"
"1496","CY255329","ATV89921","2016/10/24"
"1506","CY255457","ATV90113","2016/10/23"
"12132","CY255129","ATV89623","2016/09/13"
"11422","KY003363","AOZ81590","2016/09/13"
"4554","KY116310","APC59166","2016/09/19"
"8379","CY212578","APW80705","2016/11/26"
"3131","CY255209","ATV89742","2016/09/22"
"4548","KY116278","APC59118","2016/09/13"
"12623","CY254929","ATV89323","2016/08/12"
"2409","CY255273","ATV89838","2016/09/18"
"13841","KY289348","APH10593","2016/10/21"
"14117","CY254849","ATV89203","2016/08/08"
"3130","CY255153","ATV89659","2016/09/15"
"12144","CY255369","ATV89981","2016/11/12"
"12633","CY255233","ATV89778","2016/09/19"
"10251","KX916340","AOT88955","2016/08/17"
"12542","CY254617","ATV88855","2016/07/01"
"858","MN299578","QED12716","2017/01/07"
"797","MN299531","QED12669","2017/01/04"
"764","MN299952","QED13090","2016/12/19"
"7338","CY209368","APO19006","2016/11/12"
"12938","CY213282","APW81914","2016/12/29"
"9710","CY254841","ATV89191","2016/08/04"
