"","RN","PN","Rdate"
"8373","MN084920","QDE07524","2019/04/16"
"2785","MN221866","QDQ44036","2019/04/20"
"4460","MN222146","QDQ44456","2019/05/12"
"4461","MN423804","QDQ44456","2019/05/12"
"4465","MN222154","QDQ44468","2019/05/15"
"10351","MK913022","QCP67492","2019/03/14"
"4359","MK744288","QBS20098","2019/01/24"
"8315","MK744432","QBS20314","2019/01/28"
"2030","MN000941","QCW13660","2019/03/13"
"13015","MN319382","QED95569","2019/05/30"
"1890","MK744240","QBS20027","2019/02/06"
"7402","MN084071","QDE06253","2019/04/11"
"10361","MK960820","QCT09156","2019/03/30"
"2002","MK856502","QCG83884","2019/02/23"
"8785","MN084960","QDE07584","2019/03/27"
"2963","MN084267","QDE06545","2019/03/06"
"3613","MN084408","QDE06756","2019/04/08"
"10932","MN247912","QDX13958","2019/03/14"
"14214","MN085272","QDE08052","2019/03/29"
"5828","MK633665","QBM07363","2019/01/28"
"5834","MK898657","QBM07363","2019/01/31"
"3222","MN372599","QEI02072","2019/05/10"
"5805","MK576898","QBH71323","2019/01/05"
"15042","MN373231","QEI03020","2019/05/30"
"4473","MN372743","QEI02288","2019/05/28"
"4367","MK772223","QBY32706","2019/02/01"
"2719","MK772191","QBY32658","2019/02/10"
"3632","MN084424","QDE06780","2019/04/08"
"392","MK856545","QCG83949","2019/02/03"
"11403","MN247944","QDX14006","2019/02/25"
"3689","MN372687","QEI02204","2019/05/06"
"5454","MN222250","QDQ44611","2019/04/30"
"4552","MK624160","QBL91511","2018/12/07"
"3156","MK744864","QBS20874","2019/01/20"
"10810","MK745640","QBS22037","2019/01/08"
"10811","MK857420","QBS22037","2019/01/08"
"1740","MK744224","QBS20003","2018/12/31"
"8239","MK554963","QBF65544","2018/12/06"
"448","MK363403","AZS63642","2018/10/19"
"7146","MK446066","QAU20525","2018/11/23"
"3502","MK856496","QCG83876","2019/02/04"
"5118","MK624187","QBL91552","2018/12/23"
"8322","MK772519","QBY33150","2019/02/05"
"5687","MK763632","QBX92175","2019/01/23"
"5702","MK927842","QCQ19369","2019/01/29"
"5704","MN169592","QDK57696","2019/02/17"
"5818","MN074410","QDC20156","2019/03/27"
"12889","MK265411","AZJ60524","2018/10/14"
"6928","MK677146","QBP38699","2018/12/16"
"14442","MK292617","AZL96892","2018/10/08"
"5602","MK265435","AZJ60560","2018/10/17"
"5608","MK446150","QAU20652","2018/11/09"
"14443","MK398459","AZL96892","2018/10/08"
"15030","MK623236","QBL90223","2018/12/11"
"484","MK474829","QAY27407","2018/11/21"
"11411","MN222949","QDQ45659","2019/03/06"
"7320","MK265403","AZJ60512","2018/10/17"
"3729","MK635979","QBM12503","2018/12/18"
"4083","MK927188","QCQ18412","2019/02/06"
"13257","MK763928","QBX92607","2019/01/27"
"4087","MK927199","QCQ18423","2019/02/06"
"10366","MK960908","QCT09287","2019/03/23"
"13222","MK380040","AZY31645","2018/10/21"
"5822","MK633601","QBM07363","2018/11/06"
"3398","MK576794","QBH71174","2019/01/03"
"5815","MK869211","QCH42247","2019/01/28"
"5823","MK633609","QBM07363","2018/12/07"
"3299","MN221957","QDQ44173","2019/02/18"
"7691","MK763680","QBX92245","2019/01/28"
"7692","MK869275","QCH42342","2019/02/04"
"12434","MK623196","QBL90163","2018/11/27"
"7145","MK445973","QAU20387","2018/11/21"
"14750","MK745944","QBS22493","2019/01/15"
"13706","MK495349","QBA82430","2018/12/19"
"13704","MK495333","QBA82406","2018/12/12"
"13705","MK495341","QBA82418","2018/12/19"
"5115","MK624179","QBL91540","2018/12/21"
"1996","MK398673","QAB01912","2018/11/02"
"2013","MK623084","QBL89995","2018/11/20"
"4141","MK576834","QBH71231","2019/01/04"
"7323","MK398559","QAB01742","2018/10/26"
"7149","MK745320","QBS21557","2018/11/26"
"12371","MH306723","AWI45942","2018/03/14"
"12448","MK502896","QBA99156","2018/04/11"
"2125","MK898408","AKQ09862","2018/01/10"
"15145","MH585838","AXA18487","2018/02/05"
"13943","MH306670","AWI45862","2018/03/07"
"13739","MK772730","QBL92092","2019/01/01"
"13738","MK624547","QBL92092","2019/01/01"
"12718","MK677355","QBP39012","2019/01/23"
"13733","MK624539","QBL92080","2019/01/01"
