"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",13215,151,8,1.45840773619725,0.751300955010707,0.0137714426455124,4.33333333333333,3.28333333333333,4.18100583943364,0.5,0.666666666666667,0.375,0.857142857142857,4,2,0.714285714285714,0.525170068027211,2,6.47757382694147,1.77678092285966,1.70033380707088,1.78885438199983,4.2,0.0616867337328767,0.350684931506849,7,358,63,0.032258064516129,0.486131929592454
"2",13425,24,24,1.26727073498157,0.603867262977797,0.0090434064879126,12.3981351981352,11.2511904761905,12.0994905753387,0.159090909090909,0.454545454545455,0.375,0.391304347826087,10,2,0.695652173913043,0.571396602119108,7,23.0353578389556,-0.0319604360202849,4.76846348638539,1.41425817725921,3.46072276049469,0.0528681102549467,0.350684931506849,16,7646,699,0.00483091787439614,0.37220664945234
"3",13506,13,11,1.48014660065448,0.76748342256158,0.00257432601789453,5.42857142857143,4.95,5.80702394924517,0.222222222222222,0.555555555555556,0.272727272727273,0.7,4,2,0.6,0.566111111111111,3,8.41028623042383,1.4668017450256,2.43954794712423,1.28860326207859,2.7365205710344,0.0269897339522246,0.178082191780822,8,884,119,0.0175438596491228,0.405771392215793
"4",13655,8,8,1.37001938854894,0.662912607362388,0.0117561383268852,4.6,3.28333333333333,3.79543539146057,0.5,0.666666666666667,0.375,0.857142857142857,4,2,0.714285714285714,0.518027210884354,2,9.14460875597854,1.78976418488627,1.70033380707088,1.68483173924013,3.99907139641711,0.053595779109589,0.293150136986301,7,370,55,0.0294117647058824,0.439793210303564
"5",13741,17,17,1.22694492665439,0.399470441236313,0.0168231056271844,6,9.03333333333333,8.80969697892961,0.133333333333333,0.333333333333333,0.352941176470588,0.4375,8,4,0.4375,0.724739583333333,6,14.3525381655195,-0.200874207442205,2.08006444774195,1.7563244245883,4.49967823679911,0.0702468733943215,0.438354794520548,11,2788,301,0.00900900900900901,0.373819830772461
"6",13808,89,18,2.10822577353767,1.63682125274664,0.0119585431987725,14.8,4.31822899322899,9.33556544992383,0.4375,0.875,0.166666666666667,0.941176470588235,4,2,0.882352941176471,0.261684907748922,2,15.2539645796906,2.20328754664479,5.73666371154648,3.61478445646026,14.0666666666667,0.0560798038220869,0.386301369863014,17,3950,321,0.00628930817610063,0.36294499791117
"7",13810,86,35,2.815571031467,2.45819151803894,0.0138259514912048,29.1590909090909,6.99498713092039,18.3354952384222,0.393939393939394,0.818181818181818,0.0857142857142857,0.911764705882353,4,2,0.882352941176471,0.211917243383247,4,27.7348084242261,1.88558137437918,11.7197721815793,3.58960879220407,15.1744187723496,0.0613565334078837,0.495891232876712,32,27782,1189,0.00170357751277683,0.358180214733418
"8",13934,15,9,1.33333333333333,0.592592592592593,0.020018682980562,5.33333333333333,3.78333333333333,4.71556489164556,0.428571428571429,0.714285714285714,0.666666666666667,0.75,4,2,0.75,0.538541666666667,2,7.04133766067057,1.78473232436115,2.22684700773998,1.8912263661673,4.82286202430301,0.0679857378657196,0.416438356164384,8,520,73,0.0238095238095238,0.420655858089028
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",14026,9,9,1.55555555555556,0.888888888888889,0.00613581868601572,5.33333333333333,3.45,4.67801124045481,0.571428571428571,0.714285714285714,0.333333333333333,0.875,4,2,0.75,0.47514880952381,2,7.62990385521119,1.83802974668943,2.22684700773998,NA,NA,0.041265009301539,0.241095890410959,8,508,79,0.025,0.460413067980307
