"","root_node_id","min_hamming_distance","max_hamming_distance","median_hamming_distance","min_gc_content","max_gc_content","mean_gc_content"
"17854",17854,2,35,33,0.42470506592644,0.429078014184397,0.427199534264663
"17860",17860,1,3,1.5,0.42470506592644,0.426786953504511,0.426092990978487
"17862",17862,2,2,2,0.425399028452464,0.426786953504511,0.426324311820495
"17893",17893,2,44,27,0.42470506592644,0.428368794326241,0.42669510653529
"17894",17894,2,34,33,0.42470506592644,0.429078014184397,0.426939296120208
"17929",17929,5,40,34.5,0.42470506592644,0.429078014184397,0.426887725722385
"17941",17941,1,36,31,0.427480916030534,0.432624113475177,0.429961544960733
"17965",17965,1,52,32,0.427777777777778,0.430496453900709,0.429185946514308
"17976",17976,1,56,10,0.423317140874393,0.431914893617021,0.427876024862967
"17979",17979,1,36,4,0.426786953504511,0.431205673758865,0.428728760206482
"17981",17981,2,29,3,0.426092990978487,0.427480916030534,0.426613613036944
"17989",17989,1,50,5,0.42470506592644,0.429886685552408,0.426545886236774
"17994",17994,1,52,6,0.424011103400416,0.430496453900709,0.427206137741779
"17999",17999,1,52,6,0.423611111111111,0.430183356840621,0.427344997847236
"18016",18016,2,35,21,0.426786953504511,0.429787234042553,0.428142646540187
"18163",18163,2,17,3,0.425399028452464,0.429873772791024,0.427222434823436
"18212",18212,3,4,3.5,0.42470506592644,0.426092990978487,0.425572519083969
"18283",18283,1,37,6,0.429166666666667,0.432624113475177,0.430659668719896
"18472",18472,1,49,4,0.424011103400416,0.429787234042553,0.427253907983935
"18517",18517,2,52,31,0.42470506592644,0.429078014184397,0.426836037268579
"18518",18518,2,41,22,0.42470506592644,0.429078014184397,0.426576865830471
"18541",18541,1,51,34,0.425429553264605,0.429078014184397,0.427519183672351
"18554",18554,1,39,5,0.42470506592644,0.429886685552408,0.426671947132558
"18561",18561,1,38,7,0.42470506592644,0.429787234042553,0.427104020809716
"18776",18776,1,17,4,0.42470506592644,0.42680412371134,0.425661410675576
"18791",18791,2,34,3,0.42470506592644,0.428368794326241,0.42600964985243
"18818",18818,1,40,4,0.424809424809425,0.430486944248412,0.426963605293053
"18899",18899,1,40,5,0.425,0.429078014184397,0.426777664441502
"18925",18925,2,34,18,0.426092990978487,0.429078014184397,0.427533209305988
"18932",18932,1,42,15,0.426388888888889,0.430496453900709,0.427992624155876
"19010",19010,1,51,18,0.426092990978487,0.431205673758865,0.428285012620306
"19108",19108,1,287,8,0.423023578363384,0.430496453900709,0.426920572275197
"19114",19114,2,287,33.5,0.423023578363384,0.430496453900709,0.427180174610006
"19152",19152,1,39,6,0.425399028452464,0.429078014184397,0.427283620679755
"19155",19155,1,4,2,0.427480916030534,0.428174878556558,0.427926851209294
"19189",19189,1,35,4,0.426490984743412,0.429787234042553,0.428871151454984
"19190",19190,1,35,30,0.425399028452464,0.429787234042553,0.428186114034588
"19191",19191,1,36,30,0.425399028452464,0.429787234042553,0.427557763204522
"19249",19249,1,34,2,0.426786953504511,0.430496453900709,0.42835066599075
"19268",19268,1,10,4,0.428174878556558,0.430256766134629,0.429100161924589
"19270",19270,1,7,3,0.426786953504511,0.429562803608605,0.428616491073118
"19300",19300,1,6,3,0.428868841082582,0.430256766134629,0.429463666104888
"19318",19318,3,43,15,0.425399028452464,0.431205673758865,0.428126599281698
"19341",19341,1,3,2,0.428868841082582,0.429562803608605,0.429042331714087
"19361",19361,1,42,5,0.426092990978487,0.429787234042553,0.427012226706695
"19408",19408,1,38,8,0.426786953504511,0.431914893617021,0.429323672002222
"19436",19436,4,41,21.5,0.429562803608605,0.431914893617021,0.430440346292222
"19478",19478,1,35,4.5,0.428174878556558,0.431289640591966,0.429114656676262
"19506",19506,1,35,23.5,0.428174878556558,0.431289640591966,0.429530148568415
"19508",19508,1,24,13.5,0.428174878556558,0.431289640591966,0.429474040959928
"19526",19526,1,51,10,0.423317140874393,0.429553264604811,0.426297942938428
"19549",19549,2,50,19,0.423023578363384,0.426241134751773,0.424025077483616
"19571",19571,1,44,7.5,0.425694444444444,0.429787234042553,0.42774749265299
"19584",19584,4,10,7,0.425399028452464,0.428174878556558,0.4265879211967
"19606",19606,1,5,3,0.424011103400416,0.426786953504511,0.425200753445028
"19630",19630,31,31,31,0.427480916030534,0.430496453900709,0.428486095320593
"19641",19641,1,13,6,0.425399028452464,0.430256766134629,0.428452463566967
"19657",19657,3,5,4,0.429078014184397,0.431205673758865,0.430673758865248
"19674",19674,1,50,17,0.422730422730423,0.429787234042553,0.426091363816282
"19716",19716,1,2,1,0.427659574468085,0.429078014184397,0.428368794326241
"19752",19752,1,40,24,0.42371705963939,0.430496453900709,0.427102349202562
"19845",19845,6,38,20,0.42470506592644,0.429787234042553,0.427883352136644
"19872",19872,1,50,5,0.426241134751773,0.429787234042553,0.428573517584266
"19873",19873,1,52,3,0.428178694158076,0.431205673758865,0.429665862396724
"19924",19924,1,9,4,0.426241134751773,0.430801987224982,0.428856763986553
"20050",20050,1,34,18.5,0.425399028452464,0.429078014184397,0.427418972668282
"20068",20068,2,11,4,0.427659574468085,0.431205673758865,0.428971292561581
"20162",20162,1,49,5,0.426592797783933,0.430496453900709,0.428415901436436
"20194",20194,1,4,3,0.427659574468085,0.429787234042553,0.428875387928889
"20195",20195,1,61,5,0.425797503467406,0.430496453900709,0.428352517739553
"20198",20198,1,41,22.5,0.425104022191401,0.429787234042553,0.427359087127729
"20215",20215,12,29,23,0.426092990978487,0.42887323943662,0.42715240505284
"20279",20279,5,61,28,0.424581005586592,0.431205673758865,0.427912727584862
"20280",20280,1,38,23.5,0.424581005586592,0.431205673758865,0.427723568084669
"20283",20283,1,42,25,0.422623178348369,0.429787234042553,0.426600591141745
"20346",20346,2,59,3,0.427012278308322,0.429787234042553,0.428598659343964
"20363",20363,1,60,49,0.427694406548431,0.43172119487909,0.42940386625713
"20388",20388,2,41,11,0.427380125086866,0.431914893617021,0.429935781246253
"20390",20390,1,42,6,0.427380125086866,0.431914893617021,0.429906826033753
"20393",20393,1,43,6,0.427380125086866,0.432624113475177,0.430009705204028
"20507",20507,1,42,6,0.426241134751773,0.432624113475177,0.429595161663074
"20512",20512,1,58,6,0.426241134751773,0.432624113475177,0.429488247106143
"20602",20602,2,33,33,0.423317140874393,0.426241134751773,0.424742101869761
"20605",20605,1,36,4,0.421636615811373,0.426241134751773,0.423624227244729
"20621",20621,1,10,5,0.421235253296322,0.425399028452464,0.423597376436117
"20673",20673,1,49,33.5,0.421929215822346,0.426241134751773,0.423734503368258
"20675",20675,2,49,16.5,0.419847328244275,0.424822695035461,0.422248729320975
"20722",20722,NA,NA,NA,NA,NA,NA
"20725",20725,NA,NA,NA,NA,NA,NA
"20750",20750,1,43,34,0.421929215822346,0.424822695035461,0.423115704011577
"20751",20751,1,43,9.5,0.421929215822346,0.424822695035461,0.42321617338541
"20852",20852,3,47,14,0.421235253296322,0.427659574468085,0.423156833421573
"20853",20853,3,47,5.5,0.421235253296322,0.427659574468085,0.422916585777286
"20869",20869,0,0,0,0.424113475177305,0.424113475177305,0.424113475177305
"20881",20881,2,6,2,0.420541290770298,0.42470506592644,0.421651630811936
"20916",20916,2,3,3,0.426241134751773,0.428368794326241,0.427287766754417
"20927",20927,1,7,4,0.430496453900709,0.431205673758865,0.430750142196316
"20954",20954,1,33,4,0.427380125086866,0.430496453900709,0.429012445353361
"20982",20982,1,6,5,0.429078014184397,0.430496453900709,0.429787234042553
"20999",20999,1,5,4,0.429787234042553,0.43222143364088,0.430835040528047
"21013",21013,1,51,4,0.427253371185238,0.43222143364088,0.429562028458137
"21070",21070,2,5,3.5,0.428368794326241,0.431205673758865,0.429848038697532
"21089",21089,1,47,4,0.427785419532325,0.429787234042553,0.428862581742385
"21100",21100,1,48,4,0.429382540809084,0.43222143364088,0.430950481715018
"21139",21139,1,54,8,0.427491408934708,0.432624113475177,0.429980696424247
"21181",21181,1,52,4,0.42680412371134,0.432624113475177,0.430096206659687
"21320",21320,1,18,4,0.424011103400416,0.429562803608605,0.427758501040944
"21371",21371,1,6,3,0.429787234042553,0.432624113475177,0.430456034912342
"21372",21372,1,13,4,0.428368794326241,0.432624113475177,0.430411445497596
"21448",21448,2,8,5,0.428977272727273,0.432624113475177,0.430774092208649
"21529",21529,2,40,32,0.425399028452464,0.429787234042553,0.427937347771572
"21532",21532,2,40,9,0.425399028452464,0.429787234042553,0.427485358395552
"21542",21542,1,40,5.5,0.426675977653631,0.430496453900709,0.429242886080762
"21554",21554,1,34,5.5,0.426675977653631,0.430397727272727,0.428425584274187
"21563",21563,1,34,4,0.426675977653631,0.431914893617021,0.429883194862245
"21631",21631,1,8,3,0.429078014184397,0.431914893617021,0.430436296593603
"21634",21634,1,24,4,0.425399028452464,0.42887323943662,0.426757020330197
"21635",21635,1,38,7,0.425399028452464,0.431205673758865,0.427702570980149
"21636",21636,1,64,15.5,0.425399028452464,0.431205673758865,0.427202094917585
"21641",21641,1,60,12,0.423317140874393,0.429787234042553,0.426217110366706
"21710",21710,1,34,5,0.425,0.429078014184397,0.42697750875537
"21737",21737,1,8,3,0.422623178348369,0.427083333333333,0.425639643435445
"21750",21750,1,60,34.5,0.426330150068213,0.429787234042553,0.427949034549331
"21756",21756,1,35,4,0.425399028452464,0.429577464788732,0.427269469810366
"21843",21843,1,7,3,0.427659574468085,0.430496453900709,0.429280648429585
"21860",21860,1,36,4,0.428174878556558,0.429078014184397,0.428471855143936
"21877",21877,1,4,2,0.431205673758865,0.432624113475177,0.432118045593424
"21885",21885,1,60,9,0.427659574468085,0.434042553191489,0.430408002874798
"21894",21894,1,5,2.5,0.429787234042553,0.431205673758865,0.430557560565564
"21958",21958,1,20,14,0.427659574468085,0.434042553191489,0.431370583734755
"22011",22011,1,5,4,0.430496453900709,0.431205673758865,0.43096926713948
"22025",22025,0,0,0,0.43222143364088,0.43222143364088,0.43222143364088
"22067",22067,1,22,6,0.423372988103569,0.426092990978487,0.425145773408852
"22116",22116,1,8,3,0.427659574468085,0.429078014184397,0.428486997635934
"22162",22162,1,61,3,0.423994546693933,0.429787234042553,0.427581771805872
"22169",22169,1,63,3,0.423994546693933,0.429787234042553,0.428099837047799
"22176",22176,2,6,3,0.426950354609929,0.429787234042553,0.428773990909503
"22232",22232,1,7,4,0.426950354609929,0.428368794326241,0.427577988521184
"22273",22273,1,3,2,0.427963094393187,0.429078014184397,0.428621979272056
"22285",22285,1,63,8,0.424676209952284,0.429078014184397,0.427443742416604
"22289",22289,3,3,3,0.427253371185238,0.427659574468085,0.427456472826661
"22400",22400,1,5,3,0.428368794326241,0.430496453900709,0.429266195099818
"22422",22422,1,36,4,0.425104022191401,0.429787234042553,0.427407484734427
"22423",22423,1,65,31,0.42371705963939,0.429787234042553,0.426735821227142
"22497",22497,1,40,7,0.425104022191401,0.431205673758865,0.428701000651709
"22564",22564,1,35,33.5,0.427184466019417,0.431205673758865,0.428836525314526
"22608",22608,3,63,7,0.427694406548431,0.430496453900709,0.429185076731121
"22609",22609,1,69,7,0.425255972696246,0.430496453900709,0.428683814887115
"22661",22661,1,50,14,0.42470506592644,0.429078014184397,0.426265365123396
"22662",22662,1,76,7,0.421929215822346,0.429078014184397,0.425564039543996
"22672",22672,1,16,14,0.427480916030534,0.430240549828179,0.428567044225736
"22674",22674,1,24,17,0.426092990978487,0.430240549828179,0.428285133542079
"22679",22679,1,63,10,0.424011103400416,0.432624113475177,0.428186649343018
"23193",23193,3,34,22,0.425399028452464,0.429577464788732,0.427237572775334
"23314",23314,2,3,3,0.426092990978487,0.426786953504511,0.426439972241499
"23445",23445,1,41,6,0.426092990978487,0.431914893617021,0.428547481958671
"23576",23576,1,34,3,0.426786953504511,0.431205673758865,0.427946510746576
"23577",23577,1,38,5,0.425694444444444,0.431205673758865,0.427861613060403
"23578",23578,1,40,6,0.425694444444444,0.433333333333333,0.427997235809685
"23671",23671,2,35,3,0.426786953504511,0.431205673758865,0.428592448750353
"23714",23714,2,5,3,0.427480916030534,0.428868841082582,0.428154927133935
"23724",23724,4,49,6,0.429553264604811,0.432624113475177,0.431757695401038
"23784",23784,1,15,5,0.424011103400416,0.426490984743412,0.424867422182528
"23819",23819,2,64,29,0.42470506592644,0.428368794326241,0.426005809686006
"23837",23837,1,68,6,0.422222222222222,0.426950354609929,0.424284071368691
"23891",23891,0,0,0,0.427659574468085,0.427659574468085,0.427659574468085
"23925",23925,2,7,4,0.426846590909091,0.430092264017033,0.428236909316158
"23927",23927,2,12,6,0.426241134751773,0.430496453900709,0.428233589662309
"23981",23981,1,47,7,0.428868841082582,0.434507042253521,0.431161923846947
"23994",23994,1,39,33,0.430651872399445,0.436170212765957,0.43281666339594
"24000",24000,2,37,7,0.430950728660652,0.436170212765957,0.432514605204227
"24086",24086,3,28,7,0.428868841082582,0.433098591549296,0.4305336128068
"24098",24098,1,50,9,0.430256766134629,0.437323943661972,0.43302645890756
"24167",24167,2,39,9,0.431644691186676,0.436170212765957,0.433158517728373
"24176",24176,2,37,4,0.432638888888889,0.435460992907801,0.433853068434642
"24204",24204,1,41,14,0.427083333333333,0.433802816901408,0.429017130493528
"24209",24209,1,37,8,0.426490984743412,0.432394366197183,0.428562170171753
"24216",24216,1,7,4,0.426490984743412,0.429562803608605,0.428076222302858
"24248",24248,1,5,3,0.427480916030534,0.429562803608605,0.428695350451076
"24275",24275,1,64,32,0.423317140874393,0.429078014184397,0.426382125414555
"24276",24276,2,64,23,0.425104022191401,0.429078014184397,0.427032084298639
"24336",24336,1,37,6,0.422916666666667,0.429175475687104,0.425160793925567
"24345",24345,1,32,17,0.427659574468085,0.431914893617021,0.43031914893617
"24346",24346,1,34,3,0.426241134751773,0.431914893617021,0.430354609929078
"24367",24367,2,33,4,0.427659574468085,0.431914893617021,0.430585106382979
"24375",24375,1,7,4,0.427659574468085,0.431914893617021,0.430230496453901
"24404",24404,4,41,10,0.424410540915395,0.428368794326241,0.427009767757547
"24447",24447,1,37,5.5,0.429562803608605,0.432624113475177,0.431444475615338
"24458",24458,1,64,3,0.426950354609929,0.430496453900709,0.429100680645871
"24584",24584,1,9,5.5,0.425728500355366,0.427659574468085,0.426847103814601
"24596",24596,3,62,35.5,0.423023578363384,0.427659574468085,0.425897299334726
"24601",24601,2,64,15,0.424410540915395,0.428672817601136,0.426714473440622
"24646",24646,1,9,3,0.426543647977289,0.429382540809084,0.428049128488553
"24692",24692,1,66,23,0.425797503467406,0.435060326472676,0.429426301417985
"24700",24700,2,7,4.5,0.428368794326241,0.431205673758865,0.429706194725901
"24702",24702,2,8,5,0.428368794326241,0.43222143364088,0.42992269106459
"24777",24777,1,41,7,0.427877947295423,0.435060326472676,0.430710855464066
"24797",24797,3,36,5.5,0.425694444444444,0.428672817601136,0.427732449031639
"24808",24808,1,61,56,0.427887901572112,0.429787234042553,0.428631259026375
"24823",24823,1,39,14,0.425797503467406,0.429769392033543,0.428244488800928
"24857",24857,1,9,4,0.429078014184397,0.430496453900709,0.429726781732429
"24866",24866,1,39,4,0.427184466019417,0.431914893617021,0.429361171937557
"24867",24867,1,39,5,0.427184466019417,0.430496453900709,0.429088317630605
"24884",24884,3,12,5.5,0.427659574468085,0.431914893617021,0.429293447895746
"24912",24912,2,61,4.5,0.427197802197802,0.432624113475177,0.430259491747192
"24913",24913,2,5,4,0.429787234042553,0.432624113475177,0.431060421753232
"24934",24934,1,49,4,0.427184466019417,0.434350603264727,0.429597813253024
"25006",25006,3,8,5,0.427659574468085,0.430496453900709,0.429280648429585
"25018",25018,NA,NA,NA,NA,NA,NA
"25039",25039,2,61,5.5,0.427694406548431,0.430496453900709,0.429368668543729
"25077",25077,1,5,2,0.428368794326241,0.430496453900709,0.429609929078014
"25096",25096,1,64,7,0.426330150068213,0.431205673758865,0.429335101579083
"25174",25174,1,63,4,0.426039536468984,0.431205673758865,0.429774157599423
"25230",25230,2,62,9,0.424676209952284,0.429078014184397,0.425864286163203
"25284",25284,1,4,2.5,0.428672817601136,0.429382540809084,0.429052846694754
"25322",25322,1,6,3,0.430496453900709,0.433333333333333,0.432106613960351
"25334",25334,1,3,2,0.426510989010989,0.428571428571429,0.427541208791209
"25360",25360,1,8,5,0.426950354609929,0.430496453900709,0.428479204337303
"25386",25386,2,6,5,0.426241134751773,0.429787234042553,0.427951964769989
"25396",25396,1,30,4,0.425887265135699,0.428368794326241,0.427651182852923
"25417",25417,1,5,2.5,0.427659574468085,0.428672817601136,0.428145911037958
"25429",25429,2,9,4.5,0.426136363636364,0.429382540809084,0.428064123274483
"25483",25483,1,4,2.5,0.427659574468085,0.428977272727273,0.428166303997421
"25485",25485,1,2,1,0.427659574468085,0.428368794326241,0.42789598108747
"25529",25529,2,15,4,0.428368794326241,0.430584918957012,0.429141444173022
"25569",25569,1,63,34,0.425153793574846,0.429567642956764,0.427434192412347
"25598",25598,1,64,6,0.427694406548431,0.431205673758865,0.429893527176625
"25639",25639,2,34,6,0.425487465181059,0.429787234042553,0.428181985725028
"25664",25664,1,37,5,0.426490984743412,0.431914893617021,0.429932823593568
"25743",25743,2,38,7,0.426241134751773,0.432624113475177,0.430496453900709
"25763",25763,1,70,9.5,0.425124201561391,0.432469304229195,0.428332349628774
"25795",25795,1,23,11.5,0.426602343211578,0.429264909847434,0.427932551179492
"25838",25838,1,16,4,0.421267893660532,0.423367697594502,0.42225860882914
"25839",25839,1,66,50.5,0.421949556918882,0.426241134751773,0.423579200829544
"25854",25854,2,60,26,0.422594142259414,0.425531914893617,0.424078791242888
"25898",25898,1,67,10,0.419222903885481,0.428368794326241,0.424691810505632
"25921",25921,2,71,15,0.421949556918882,0.426950354609929,0.424894509562727
"25983",25983,1,72,37,0.422919508867667,0.427659574468085,0.425476100716447
"25991",25991,1,65,23,0.422330097087379,0.428368794326241,0.425955856943453
"26037",26037,1,22,3,0.423994546693933,0.425648021828104,0.424814612055188
"26038",26038,1,48,10,0.421736158578264,0.429070580013976,0.424694031887507
"26103",26103,1,37,16,0.42371705963939,0.427659574468085,0.425191126628984
"26179",26179,1,38,4,0.42371705963939,0.426950354609929,0.424641332467711
"26183",26183,1,5,3,0.42583392476934,0.427253371185238,0.426413927544955
"26202",26202,2,5,3.5,0.424822695035461,0.426543647977289,0.426037781435453
"26246",26246,1,8,4,0.425531914893617,0.428368794326241,0.426780484914207
"26247",26247,1,8,4,0.425531914893617,0.428368794326241,0.426652555954349
"26327",26327,1,39,9.5,0.427777777777778,0.433640880056778,0.430094420395173
"26375",26375,1,33,6,0.423799582463466,0.429078014184397,0.425539328211125
"26428",26428,1,62,20,0.423023578363384,0.429078014184397,0.426344466404393
"26431",26431,1,40,10,0.423103688239388,0.429382540809084,0.426482006766894
"26476",26476,2,39,30.5,0.423023578363384,0.427963094393187,0.425292500623073
"26488",26488,2,61,31,0.42371705963939,0.429382540809084,0.426553664170176
"26506",26506,2,67,35,0.42320819112628,0.426950354609929,0.424869961016666
"26578",26578,1,16,5,0.428469241773963,0.430801987224982,0.429676453530468
"26602",26602,2,9,5,0.426241134751773,0.430801987224982,0.429068999647198
"26612",26612,1,9,5,0.427659574468085,0.430801987224982,0.429331897824257
"26643",26643,1,38,28,0.423799582463466,0.430397727272727,0.427195538289516
"26644",26644,1,37,10,0.423799582463466,0.430801987224982,0.427853999700579
"26660",26660,1,36,32,0.423799582463466,0.430458970792768,0.426732604742354
"26668",26668,1,38,9,0.423611111111111,0.428672817601136,0.426789715508222
"26688",26688,2,17,5,0.425,0.429873772791024,0.427569772017374
"26704",26704,1,61,30,0.427083333333333,0.431511710432931,0.429993944595749
"26717",26717,1,35,4.5,0.429861111111111,0.433640880056778,0.432027641873334
"26735",26735,1,36,22.5,0.427777777777778,0.43222143364088,0.430221788734996
"26736",26736,1,37,23,0.428472222222222,0.433333333333333,0.430706976548427
"26754",26754,2,5,4,0.429078014184397,0.431914893617021,0.430716669435091
"26773",26773,1,61,32,0.427083333333333,0.430801987224982,0.429049847833569
"26791",26791,1,6,3,0.429382540809084,0.431914893617021,0.430770043872742
"26811",26811,2,7,5,0.429382540809084,0.433640880056778,0.430802143449314
"26848",26848,1,37,5,0.425,0.430397727272727,0.428510986746199
"26849",26849,1,41,30,0.423611111111111,0.431914893617021,0.427488056436932
"26899",26899,1,40,5,0.424305555555556,0.431818181818182,0.426526956109811
"26924",26924,1,36,5,0.423611111111111,0.429078014184397,0.425795409771474
"27005",27005,1,37,18.5,0.425694444444444,0.431511710432931,0.428754267513757
"27015",27015,1,9,3,0.427083333333333,0.429366736256089,0.428132244076603
"27026",27026,1,32,4,0.426685198054204,0.429787234042553,0.428518512311665
"27044",27044,1,65,31,0.425295343988881,0.429787234042553,0.427488351862526
"27087",27087,1,5,3,0.427380125086866,0.429464906184851,0.428306694463748
"27114",27114,2,60,4,0.427253371185238,0.429382540809084,0.428461418705077
"27116",27116,2,8,5,0.427253371185238,0.429787234042553,0.428933470774792
"27117",27117,3,32,7,0.425191370911621,0.429787234042553,0.427917209367559
"27118",27118,1,34,6,0.424791086350975,0.430801987224982,0.427985173483809
"27141",27141,1,36,29.5,0.425104022191401,0.429787234042553,0.427638107444532
"27160",27160,2,61,42,0.425153793574846,0.429078014184397,0.427265904140091
"27209",27209,2,61,7,0.425255972696246,0.428368794326241,0.426229999023254
"27232",27232,1,43,7,0.421820708825573,0.429787234042553,0.42484202513127
"27240",27240,1,11,4,0.421527777777778,0.423611111111111,0.422248852317476
