"","Nodeid","sackin","colless","Variance","I2","B1","B2","avgLadder","ILnumber","pitchforks","maxHeight","MaxWidth","DelW","Stairs1","Stairs2","Cherries","BS","descinm","getstattest","skewness","kurtosis","MeanPairwiseDist","MaxPairwiseDist","diameter","WienerIndex","betweenness","closeness","eigenvector"
"1",15259,1.31568586724842,0.548202444686843,0.00948515742518658,5.58333333333333,5.11666666666667,5.76415193063116,0.222222222222222,0.555555555555556,0.545454545454545,0.6,6,2,0.7,0.596666666666667,3,8.81912240574927,0.955698949528303,0.886716215183574,0.91511490840063,2.47971090538938,0.0498133182082645,0.241096712,9,896,113,0.0172413793103448,0.403785006341113
"2",15516,1.52242591652149,0.944074171697683,0.00320538531816061,15.6555023923445,9.21987734487734,12.6817461290344,0.181818181818182,0.636363636363636,0.25,0.565217391304348,6,2,0.739130434782609,0.45382914187262,5,18.1105379704022,1.00045524146797,6.0213610217331,1.77979620498098,4.80909531085245,0.0291476682716232,0.20822019175,17,7794,663,0.00460829493087558,0.357232998982003
"3",15522,1.72152080918738,1.28770854786105,0.0135638494030839,37.3739044168392,17.2485693829734,26.5149450161123,0.0702947845804989,0.673469387755102,0.294117647058824,0.44,8,2,0.8,0.37549124265889,9,42.5406772135721,-0.820537156547797,12.957274183389,2.03340505461138,6.02359473361389,0.0651174239074702,0.43561663015,34,64854,2849,0.00112866817155756,0.299921318986532
"4",15564,1.70762993649092,1.13841995766062,0.00771798857258505,8,2.71785714285714,5.27745221754881,1,1,0.3,1,2,1,0.888888888888889,0.314329805996473,1,7.55583066436521,2.43610819286446,3.54662136463745,NA,NA,0.0428219216681,0.22739726026,10,732,89,0.0185185185185185,0.395645371234761
"5",15578,1.32255157221928,0.667823071120628,0.00245495105774868,9.775,7.91230158730159,9.05324613474006,0.166666666666667,0.5,0.166666666666667,0.588235294117647,6,2,0.647058823529412,0.530135387488329,5,17.5885136438275,0.671767958665663,3.84978844107357,2.11125681556638,6.19105781745626,0.0269745213779012,0.18356301373,15,3838,321,0.00649350649350649,0.361158560002349
"6",15579,1.49836928046311,0.960493128501992,0.0225537957593732,18.268956043956,12.168228993229,14.8468675896242,0.0925925925925926,0.555555555555556,0.413793103448276,0.535714285714286,8,2,0.714285714285714,0.476630011592418,7,25.7284226327695,0.4641866630446,6.57248132101728,2.84761999700078,10.5088394760364,0.0812599208402378,0.46301506847,19,12740,937,0.00333333333333333,0.316997263325594
"7",15624,1.39754248593737,0.704361412912434,0.0258757344247316,8.6156862745098,9.91230158730159,10.4429789507477,0.138888888888889,0.333333333333333,0.15,0.526315789473684,6,2,0.578947368421053,0.613703052781593,7,15.639126763947,-0.360059376965177,2.96061201944578,1.75457908817019,4.5727214808568,0.064226206315875,0.7452054799,13,4454,447,0.00666666666666667,0.372161272133279
"8",15644,1.296875,0.546875,0.00741178188650594,6.64957264957265,8.03333333333333,8.43853679417279,0.178571428571429,0.428571428571429,0.1875,0.466666666666667,8,4,0.533333333333333,0.653131313131313,5,12.1615307318581,0.071213853359721,0.896234098883406,1.06478109806392,3.24442835472919,0.0387735289182813,0.3589041101,10,2418,299,0.0102040816326531,0.402917995633902
"9",15647,1.42532635618579,0.76748342256158,0.00545880046838449,6.44444444444444,4.59285714285714,5.73398823319513,0.444444444444444,0.555555555555556,0.272727272727273,0.8,4,2,0.7,0.496388888888889,3,9.18516285450515,1.39992843666113,0.886716215183574,1.01635296069066,2.72134373210175,0.0400315634638017,0.19725917812,10,936,117,0.0163934426229508,0.411723242349431
"10",15673,1.62659710705757,1.10014659108043,0.0107615439583261,16.5834410687352,11.9848956598957,14.5618970633298,0.128205128205128,0.461538461538462,0.321428571428571,0.592592592592593,8,2,0.703703703703704,0.482420263814874,8,23.4382485452665,0.0889551381374693,6.67628687748613,1.51333896122125,3.81790507748932,0.0577753606415944,0.3643824658,18,11662,891,0.00347222222222222,0.383980270642029
"11",15739,1.26086562277974,0.493382200218159,0.0122110856100758,3.09206349206349,6.28333333333333,5.76361880734041,0,0.111111111111111,0,0.6,4,2,0.4,0.715793650793651,5,8.76044456168314,0.904583691906393,-0.0439358779510338,0.913610606249299,2.78748850122333,0.0541605112518512,0.31232657533,8,868,123,0.0185185185185185,0.430110716898227
"12",15811,1.2557492801336,0.555427566212939,0.0193492432490046,9.25737987502693,9.67619047619048,9.71968825105262,0.117647058823529,0.411764705882353,0.631578947368421,0.444444444444444,10,4,0.666666666666667,0.617824074074074,6,16.9873773883852,-0.774100457252223,1.85709764524331,0.94279032436057,2.3449696145288,0.0770007375359225,0.4657534247,11,3728,411,0.00793650793650794,0.38817694641736
"13",15831,1.44444444444444,0.777777777777778,0.0114449020440675,5.66666666666667,3.45,4.7060012366506,0.571428571428571,0.714285714285714,0.333333333333333,0.875,4,2,0.75,0.467708333333333,2,7.29476416022525,1.83802974668943,2.22684700773998,1.54505915040016,3.98834872212039,0.0574327143530864,0.2821912326,8,526,71,0.0232558139534884,0.413871046495769
"14",15833,1.45464772367745,0.758946638440411,0.0226574736803452,6.33333333333333,3.95,5.14346629519395,0.3125,0.75,0.6,0.777777777777778,4,2,0.777777777777778,0.491049382716049,2,8.69594055376002,1.88329261298876,2.72981585934716,1.13615359618936,2.59712007183404,0.081123249345,0.4301361648,8,684,101,0.0208333333333333,0.44539015173119
"15",15851,1.2962962962963,0.481481481481481,0.00428183501086594,5,3.91666666666667,4.47249882546299,0.285714285714286,0.714285714285714,0.666666666666667,0.625,4,2,0.625,0.598958333333333,2,9.1264368502694,0.75715635315981,0.490030400031917,0.661395868551729,1.89545565895312,0.0343650194523457,0.1917808219,8,518,77,0.024390243902439,0.437863539671298
"16",15862,1.1932426932523,0.397747564417433,0.000619259989119166,4.33333333333333,3.58333333333333,4.23313842424718,0.5,0.666666666666667,0.75,0.714285714285714,4,2,0.714285714285714,0.597619047619048,2,5.98639005972701,1.17066792065568,0.763141944905827,0.792635170757728,2.0268592419222,0.0111302119840625,0.08219246655,8,394,55,0.027027027027027,0.449092833272938
